,BMD,CinC,CirCor,ICBHI,KAUH,SPRSound,ZCHSound
BMD,0,0.6481,0.04129,0.09986,0.6679,0.3968,0.3288
CinC,0.6481,0,0.5635,0.725,0.2174,0.2972,0.9226
CirCor,0.04129,0.5635,0,0.4397,0.2363,0.3473,0.7313
ICBHI,0.09986,0.725,0.4397,0,0.07098,0.226,0.09034
KAUH,0.6679,0.2174,0.2363,0.07098,0,0.5633,0.04112
SPRSound,0.3968,0.2972,0.3473,0.226,0.5633,0,0.3751
ZCHSound,0.3288,0.9226,0.7313,0.09034,0.04112,0.3751,0
