dataset,scope,property,rho,p_value,auc,n_heads
ICBHI,raw,generality,0.00339458,0.963523,0.485,184
ICBHI,raw,general_share,0.11933,0.106655,0.4825,184
ICBHI,raw,medical_share,0.0943411,0.202725,0.495,184
ICBHI,raw,contrib_ratio,-0.0929433,0.209525,0.505,184
ICBHI,raw,general_contrib_rms,-0.0155251,0.834316,0.48,184
ICBHI,raw,medical_contrib_rms,0.0442942,0.550485,0.435,184
ICBHI,raw,w_norm,-0.0793911,0.28405,0.595,184
ICBHI,raw,w_norm_qkv,-0.076299,0.303283,0.5875,184
ICBHI,raw,w_norm_out,-0.10159,0.170004,0.4775,184
ICBHI,raw,w_rms,0.0851206,0.250618,0.545,184
ICBHI,raw,w_kurtosis,0.0688066,0.353367,0.635,184
ICBHI,raw,w_participation,-0.0687931,0.353462,0.365,184
ICBHI,raw,w_max_over_rms,-0.0541793,0.465114,0.5775,184
ICBHI,raw,ov_spectral,-0.0948901,0.200098,0.515,184
ICBHI,within_stage,generality,0.00276748,0.970258,0.4775,184
ICBHI,within_stage,general_share,0.03386,0.648174,0.465,184
ICBHI,within_stage,medical_share,0.00255653,0.972525,0.4625,184
ICBHI,within_stage,contrib_ratio,-0.0208317,0.778956,0.4375,184
ICBHI,within_stage,general_contrib_rms,0.00632293,0.932115,0.4275,184
ICBHI,within_stage,medical_contrib_rms,-0.00319036,0.965716,0.4225,184
ICBHI,within_stage,w_norm,0.0553458,0.455545,0.57,184
ICBHI,within_stage,w_norm_qkv,0.0478968,0.518508,0.57,184
ICBHI,within_stage,w_norm_out,0.0458894,0.536208,0.495,184
ICBHI,within_stage,w_rms,0.0552515,0.456315,0.57,184
ICBHI,within_stage,w_kurtosis,-0.018413,0.804069,0.5875,184
ICBHI,within_stage,w_participation,-0.0269639,0.716358,0.395,184
ICBHI,within_stage,w_max_over_rms,-0.0285967,0.699986,0.5425,184
ICBHI,within_stage,ov_spectral,-0.0290542,0.695422,0.505,184
KAUH,raw,generality,-0.100831,0.173234,0.4275,184
KAUH,raw,general_share,0.260569,0.000353792,0.7525,184
KAUH,raw,medical_share,0.264018,0.000293038,0.7525,184
KAUH,raw,contrib_ratio,-0.248145,0.000682925,0.265,184
KAUH,raw,general_contrib_rms,0.0270452,0.71554,0.4325,184
KAUH,raw,medical_contrib_rms,0.190812,0.00947147,0.6025,184
KAUH,raw,w_norm,-0.167396,0.0231324,0.35,184
KAUH,raw,w_norm_qkv,-0.161751,0.0282632,0.3525,184
KAUH,raw,w_norm_out,-0.166639,0.0237702,0.295,184
KAUH,raw,w_rms,0.118793,0.108252,0.6175,184
KAUH,raw,w_kurtosis,0.166517,0.0238739,0.6775,184
KAUH,raw,w_participation,-0.16652,0.0238714,0.3225,184
KAUH,raw,w_max_over_rms,-0.0417401,0.573723,0.525,184
KAUH,raw,ov_spectral,-0.163076,0.0269792,0.35,184
KAUH,within_stage,generality,-0.0853892,0.24912,0.4375,184
KAUH,within_stage,general_share,0.153573,0.0374029,0.5525,184
KAUH,within_stage,medical_share,0.193758,0.00840451,0.655,184
KAUH,within_stage,contrib_ratio,-0.162538,0.0274941,0.345,184
KAUH,within_stage,general_contrib_rms,0.111798,0.130813,0.535,184
KAUH,within_stage,medical_contrib_rms,0.139406,0.0591162,0.545,184
KAUH,within_stage,w_norm,-0.0388023,0.601009,0.435,184
KAUH,within_stage,w_norm_qkv,-0.0492551,0.506704,0.45,184
KAUH,within_stage,w_norm_out,0.0556663,0.452935,0.4675,184
KAUH,within_stage,w_rms,-0.0387199,0.601782,0.435,184
KAUH,within_stage,w_kurtosis,0.0452327,0.542063,0.55,184
KAUH,within_stage,w_participation,-0.0853295,0.249453,0.4025,184
KAUH,within_stage,w_max_over_rms,-0.0176336,0.812205,0.535,184
KAUH,within_stage,ov_spectral,0.0186691,0.8014,0.5325,184
SPRSound,raw,generality,-0.0141425,0.848886,0.5625,184
SPRSound,raw,general_share,-0.137012,0.0636526,0.24,184
SPRSound,raw,medical_share,-0.13586,0.065935,0.2075,184
SPRSound,raw,contrib_ratio,0.00599392,0.935639,0.675,184
SPRSound,raw,general_contrib_rms,0.0829594,0.262894,0.58,184
SPRSound,raw,medical_contrib_rms,0.0571353,0.441081,0.5025,184
SPRSound,raw,w_norm,0.170638,0.0205643,0.7375,184
SPRSound,raw,w_norm_qkv,0.168185,0.022483,0.74,184
SPRSound,raw,w_norm_out,0.110937,0.133822,0.7225,184
SPRSound,raw,w_rms,-0.00884689,0.905125,0.3675,184
SPRSound,raw,w_kurtosis,0.0688988,0.352721,0.4125,184
SPRSound,raw,w_participation,-0.0691126,0.351225,0.5875,184
SPRSound,raw,w_max_over_rms,0.127969,0.0834244,0.52,184
SPRSound,raw,ov_spectral,0.118299,0.109739,0.755,184
SPRSound,within_stage,generality,-0.0180193,0.808176,0.5425,184
SPRSound,within_stage,general_share,-0.0619648,0.403376,0.42,184
SPRSound,within_stage,medical_share,-0.0434504,0.558111,0.405,184
SPRSound,within_stage,contrib_ratio,-0.0259772,0.726317,0.615,184
SPRSound,within_stage,general_contrib_rms,-0.0901457,0.223626,0.39,184
SPRSound,within_stage,medical_contrib_rms,-0.0625485,0.398953,0.3775,184
SPRSound,within_stage,w_norm,0.155249,0.0353507,0.6575,184
SPRSound,within_stage,w_norm_qkv,0.150181,0.041868,0.665,184
SPRSound,within_stage,w_norm_out,-0.117573,0.111949,0.34,184
SPRSound,within_stage,w_rms,0.155207,0.0354002,0.6575,184
SPRSound,within_stage,w_kurtosis,0.195264,0.00790125,0.6225,184
SPRSound,within_stage,w_participation,-0.182064,0.0133793,0.41,184
SPRSound,within_stage,w_max_over_rms,0.0916098,0.216165,0.475,184
SPRSound,within_stage,ov_spectral,0.00735298,0.921089,0.5,184
ZCHSound,raw,generality,-0.0429208,0.562923,0.445,184
ZCHSound,raw,general_share,0.239325,0.00106822,0.775,184
ZCHSound,raw,medical_share,0.224973,0.00213813,0.775,184
ZCHSound,raw,contrib_ratio,-0.133804,0.0701739,0.3575,184
ZCHSound,raw,general_contrib_rms,-0.0207135,0.780179,0.38,184
ZCHSound,raw,medical_contrib_rms,0.024835,0.737901,0.42,184
ZCHSound,raw,w_norm,-0.18479,0.0120325,0.2525,184
ZCHSound,raw,w_norm_qkv,-0.17144,0.0199691,0.245,184
ZCHSound,raw,w_norm_out,-0.210676,0.00409736,0.1625,184
ZCHSound,raw,w_rms,0.226709,0.00197035,0.8375,184
ZCHSound,raw,w_kurtosis,0.0452816,0.541625,0.64,184
ZCHSound,raw,w_participation,-0.045351,0.541006,0.36,184
ZCHSound,raw,w_max_over_rms,-0.101127,0.171969,0.4375,184
ZCHSound,raw,ov_spectral,-0.174475,0.0178478,0.2675,184
ZCHSound,within_stage,generality,-0.0480441,0.517221,0.4325,184
ZCHSound,within_stage,general_share,0.138044,0.0616626,0.615,184
ZCHSound,within_stage,medical_share,0.10327,0.163014,0.605,184
ZCHSound,within_stage,contrib_ratio,-0.0754614,0.308638,0.4525,184
ZCHSound,within_stage,general_contrib_rms,0.122561,0.0974326,0.57,184
ZCHSound,within_stage,medical_contrib_rms,0.103077,0.163805,0.57,184
ZCHSound,within_stage,w_norm,0.0219098,0.767835,0.56,184
ZCHSound,within_stage,w_norm_qkv,0.0209909,0.777311,0.5475,184
ZCHSound,within_stage,w_norm_out,0.066627,0.368859,0.4725,184
ZCHSound,within_stage,w_rms,0.0219165,0.767765,0.56,184
ZCHSound,within_stage,w_kurtosis,-0.0333843,0.652793,0.58,184
ZCHSound,within_stage,w_participation,0.01879,0.800141,0.415,184
ZCHSound,within_stage,w_max_over_rms,-0.0687807,0.353549,0.485,184
ZCHSound,within_stage,ov_spectral,0.114547,0.12155,0.6075,184
